src,trg
O=C(NC1CCCCCC=CC2CC2(C(=O)NS(=O)(=O)C2CC2)NC(=O)C2CC(OC(=O)N3Cc4cccc(F)c4C3)CN2C1=O)Oc1ccc2c(c1)COB2O,O=C(NC1CCCCCC=CC2CC2(C(=O)NS(=O)(=O)C2CC2)NC(=O)C2CC(OC(=O)N3Cc4cccc(F)c4C3)CN2C1=O)Oc1ccc2c(c1)COB2O
CCCC(=O)c1cc2c(c(O)c1C)C(=O)C(=O)c1c(O)cccc1-2,CCCC(=O)c1cc2c(c(O)c1C)C(=O)C(=O)c1c(O)cccc1-2
NC(=O)CCCC1(c2ccccc2)CC(O)=C(SCCc2ccccc2)C(=O)O1,NC(=O)CCCC1(c2ccccc2)CC(O)=C(SCCc2ccccc2)C(=O)O1
Cc1c(C(=O)NC(CSc2ccc3ccccc3c2)C(O)Cc2ccccc2C(=O)NC(C)(C)C)cccc1[N+](=O)[O-],Cc1c(C(=O)NC(CSc2ccc3ccccc3c2)C(O)Cc2ccccc2C(=O)NC(C)(C)C)cccc1[N+](=O)[O-]
Cc1c(O)cccc1C(=O)NC(Cc1ccccc1)CC(O)C(Cc1ccccc1)NC(=O)c1ccccc1NC(=O)OCc1ccccn1,Cc1c(O)cccc1C(=O)NC(Cc1ccccc1)CC(O)C(Cc1ccccc1)NC(=O)c1ccccc1NC(=O)OCc1ccccn1
CC(C)(C)NC(=O)C1CN(Cc2noc3ccccc23)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O,CC(C)(C)NC(=O)C1CN(Cc2noc3ccccc23)CCN1CC(O)CC(Cc1ccccc1)C(=O)NC1c2ccccc2CC1O
CC(C)N(C(C)C)S(=O)(=O)NC(=O)C12CC1C=CCCCCCC(NC(=O)OC(C)(C)C)C(=O)N1CC(OC(=O)N3Cc4ccccc4C3)CC1C(=O)N2,CC(C)N(C(C)C)S(=O)(=O)NC(=O)C12CC1C=CCCCCCC(NC(=O)OC(C)(C)C)C(=O)N1CC(OC(=O)N3Cc4ccccc4C3)CC1C(=O)N2
CSC(=O)N1C(=O)C2(CCC2)C2C1CCN2C(=O)C(NC(=O)OC(C)(C)C)C(C)C,CSC(=O)N1C(=O)C2(CCC2)C2C1CCN2C(=O)C(NC(=O)OC(C)(C)C)C(C)C
C=CC1CC1(NC(=O)C1CC2(CN1C(=O)C(NC(=O)C(NC(=O)C1CCCCN1CC)C1CCCCC1)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N(CC)CC,C=CC1CC1(NC(=O)C1CC2(CN1C(=O)C(NC(=O)C(NC(=O)C1CCCCN1CC)C1CCCCC1)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N(CC)CC
O=c1oc2c(c(O)c1C(C1CC1)C1CC1)CCCCCCC2Cc1ccccc1,O=c1oc2c(c(O)c1C(C1CC1)C1CC1)CCCCCCC2Cc1ccccc1
Cc1cc(SC2=C(O)CC(CCc3ccc(N)cc3)(C3CCCCC3)OC2=O)c(C(C)(C)C)cc1CO,Cc1cc(SC2=C(O)CC(CCc3ccc(N)cc3)(C3CCCCC3)OC2=O)c(C(C)(C)C)cc1CO
C=CC1CC1(NC(=O)C1CC2(CN1C(=O)C(NC(=O)C(NC(=O)C1CCCN1C(C)C)C(C)(C)C)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1,C=CC1CC1(NC(=O)C1CC2(CN1C(=O)C(NC(=O)C(NC(=O)C1CCCN1C(C)C)C(C)(C)C)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1
CCC(c1cccc(C(=O)NCc2nc3ccccc3[nH]2)c1)c1c(O)c2ccccc2oc1=O,CCC(c1cccc(C(=O)NCc2nc3ccccc3[nH]2)c1)c1c(O)c2ccccc2oc1=O
CCn1c2cc(Cl)c(N)cc2c(=O)c2c(OC)cc(OC)cc21,CCn1c2cc(Cl)c(N)cc2c(=O)c2c(OC)cc(OC)cc21
Cc1cccc(NC(=O)c2cccc(CN3C(=O)N(Cc4cccc(C(=O)Nc5cccc(C)n5)c4)C(Cc4ccccc4)C(O)C(O)C3Cc3ccccc3)c2)n1,Cc1cccc(NC(=O)c2cccc(CN3C(=O)N(Cc4cccc(C(=O)Nc5cccc(C)n5)c4)C(Cc4ccccc4)C(O)C(O)C3Cc3ccccc3)c2)n1
CCc1c(O)cccc1C(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSC(C)(C)C1C(=O)NCc1ccccc1C,CCc1c(O)cccc1C(=O)NC(Cc1ccccc1)C(O)C(=O)N1CSC(C)(C)C1C(=O)NCc1ccccc1C
Nc1cccc(CN2C(=O)N(Cc3ccc4[nH]nc(N)c4c3)C(CCc3ccccc3)C(O)C2Cc2ccccc2)c1,Nc1cccc(CN2C(=O)N(Cc3ccc4[nH]nc(N)c4c3)C(CCc3ccccc3)C(O)C2Cc2ccccc2)c1
C=CC1CC1(NC(=O)C1CC2(CN1C(=O)C(NC(=O)C(NC(=O)C1CN(C(C)C)C1)C1CCCCC1)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1,C=CC1CC1(NC(=O)C1CC2(CN1C(=O)C(NC(=O)C(NC(=O)C1CN(C(C)C)C1)C1CCCCC1)C(C)(C)C)C(C)(C)C21CCC1)C(=O)NS(=O)(=O)N1CCCC1
C=CCNC(=O)C(=O)C1CCCCCCCCCC(NC(=O)OC(C)(C)C)C(=O)N2CC3C(C2C(=O)N1)C3(C)C,C=CCNC(=O)C(=O)C1CCCCCCCCCC(NC(=O)OC(C)(C)C)C(=O)N2CC3C(C2C(=O)N1)C3(C)C
